group,feature,label,n,auc,dir,mi,d
Window (2s),Speed_ms_mean_2s,rule_path_deviation,1372369,0.5971290073708895,-,0.001655011246855631,-0.34626920677383694
Window (2s),Speed_ms_mean_2s,rule_close_conflict,1372369,0.530532381053247,+,0.00025096813039093835,0.08200983005479945
Window (2s),Speed_ms_mean_2s,rule_any,1372369,0.5194050168862915,+,0.0019197210487134075,0.053476000411080006
Window (2s),Speed_ms_std_2s,rule_hard_brake,1296331,0.8627654717491595,+,0.016227280017940382,1.2897373365607883
Window (2s),Speed_ms_std_2s,rule_anomalous_stop,1296331,0.7943465423265215,-,0.0012085420135751201,-0.7580410797954638
Window (2s),Speed_ms_std_2s,rule_path_deviation,1296331,0.5189283184335963,-,0.0,-0.011672230575375059
Window (2s),Speed_ms_std_2s,rule_close_conflict,1296331,0.838896074590048,+,0.0013670396940625995,0.9992914754103076
Window (2s),Speed_ms_std_2s,rule_any,1296331,0.7382660327570668,+,0.009392932116402575,0.8745830823550359
Window (2s),Speed_ms_absmax_2s,rule_hard_brake,1372369,0.6659123163260845,+,0.003579016989315731,0.6159438060122299
Window (2s),Speed_ms_absmax_2s,rule_anomalous_stop,1372369,0.9764326970616933,-,0.003625955312523854,-1.8955366129379034
Window (2s),Speed_ms_absmax_2s,rule_path_deviation,1372369,0.5946600128800867,-,0.0012804040444986953,-0.3296956612446829
Window (2s),Speed_ms_absmax_2s,rule_close_conflict,1372369,0.5750248594019914,+,0.0009622365025089286,0.21674910730768854
Window (2s),Speed_ms_absmax_2s,rule_any,1372369,0.5628600321600521,+,0.0034324948828607926,0.22853232108554408
Window (2s),acceleration_ms2_mean_2s,rule_hard_brake,1293933,0.8234472582565564,-,0.01690602536873309,-0.8561357518753717
Window (2s),acceleration_ms2_mean_2s,rule_anomalous_stop,1293933,0.547280728577365,-,0.0007234969745718578,-0.012959863529119724
Window (2s),acceleration_ms2_mean_2s,rule_path_deviation,1293933,0.6103919891885848,+,0.00023295433183645464,0.1530672859694833
Window (2s),acceleration_ms2_mean_2s,rule_close_conflict,1293933,0.8474549719349798,-,0.0017266423515204243,-0.7190075017498728
Window (2s),acceleration_ms2_mean_2s,rule_any,1293933,0.7175559277305826,-,0.013158206574104714,-0.5943976133738923
Window (2s),acceleration_ms2_std_2s,rule_hard_brake,1293933,0.7267736170016988,+,0.005571736800316529,0.5649858809057962
Window (2s),acceleration_ms2_std_2s,rule_anomalous_stop,1293933,0.7560206178162603,-,0.0004771716354868838,-0.5563690455459075
Window (2s),acceleration_ms2_std_2s,rule_path_deviation,1293933,0.5122365976076427,-,0.0002359843803050321,-0.08732181654032652
Window (2s),acceleration_ms2_std_2s,rule_close_conflict,1293933,0.6534401633804656,+,0.000257838226140672,0.10495832700825564
Window (2s),acceleration_ms2_std_2s,rule_any,1293933,0.6435298226415554,+,0.0029059895166112515,0.35019617417343124
Window (2s),acceleration_ms2_absmax_2s,rule_hard_brake,1293933,0.7656977322093458,+,0.016822194725314987,0.5591913737040304
Window (2s),acceleration_ms2_absmax_2s,rule_anomalous_stop,1293933,0.8282342289150421,-,0.0010661189393814663,-0.650312430707446
Window (2s),acceleration_ms2_absmax_2s,rule_path_deviation,1293933,0.5042021659087519,+,0.0008233393818737333,-0.05405935011396809
Window (2s),acceleration_ms2_absmax_2s,rule_close_conflict,1293933,0.720784975732904,+,0.0012830754396185862,0.2296002124051292
Window (2s),acceleration_ms2_absmax_2s,rule_any,1293933,0.6700478727513147,+,0.012132342409487018,0.34581887948415585
Window (2s),heading_change_rad_mean_2s,rule_hard_brake,1276226,0.6804842607126744,-,0.007518244188886802,-0.23816120635957783
Window (2s),heading_change_rad_mean_2s,rule_anomalous_stop,1276226,0.5058612618682357,+,0.0005633067346415555,0.06395337691645121
Window (2s),heading_change_rad_mean_2s,rule_path_deviation,1276226,0.5546250880431001,+,0.0006927206590530144,0.11459213943280037
Window (2s),heading_change_rad_mean_2s,rule_close_conflict,1276226,0.6208094218764584,-,0.00024849177460417593,0.13324340554818032
Window (2s),heading_change_rad_mean_2s,rule_any,1276226,0.6267850019826219,-,0.0069492466504468275,-0.15742330533547377
Window (2s),heading_change_rad_std_2s,rule_hard_brake,1247738,0.5993385726482062,+,0.0014473875995810737,0.2834599548800285
Window (2s),heading_change_rad_std_2s,rule_anomalous_stop,1247738,0.7753898801332422,+,0.0009173539045584933,1.5150004352052053
Window (2s),heading_change_rad_std_2s,rule_path_deviation,1247738,0.615984959508985,+,0.00023292015340847794,0.4049111482821799
Window (2s),heading_change_rad_std_2s,rule_close_conflict,1247738,0.5532449070203834,+,0.00011862873729207024,0.11400234391390904
Window (2s),heading_change_rad_std_2s,rule_any,1247738,0.615134933720374,+,0.0018595322405055015,0.391759581735067
Window (2s),heading_change_rad_absmax_2s,rule_hard_brake,1276226,0.5950480879751676,+,0.0,0.4029177600675624
Window (2s),heading_change_rad_absmax_2s,rule_anomalous_stop,1276226,0.7857429719222749,+,0.0006921019347003732,1.4468930175021717
Window (2s),heading_change_rad_absmax_2s,rule_path_deviation,1276226,0.64305400179794,+,0.000955107317072379,0.5154245813183204
Window (2s),heading_change_rad_absmax_2s,rule_close_conflict,1276226,0.5911194965632981,+,0.00012571582794551617,0.29057059854003725
Window (2s),heading_change_rad_absmax_2s,rule_any,1276226,0.617281097053755,+,0.001222792646324411,0.4923960605819702
